timestamp, cpu_power_uW, io_power_uW
1503442758.490174566, 2437000, 5468000
1503442758.763275883, 2437000, 5468000
1503442759.041715733, 2437000, 5468000
1503442759.316181429, 2437000, 5468000
1503442759.590689745, 2437000, 5468000
1503442759.863820522, 2437000, 5468000
1503442760.138937167, 2437000, 5468000
1503442760.414520418, 2437000, 5468000
1503442760.691755352, 2437000, 5468000
1503442760.980166080, 2437000, 5468000
1503442761.266126573, 2437000, 5468000
1503442761.542666198, 2437000, 5468000
1503442761.817088993, 2437000, 5468000
1503442762.092395340, 2437000, 5468000
1503442762.368336676, 2437000, 5468000
1503442762.642893933, 2437000, 5468000
1503442762.923404532, 2437000, 5468000
1503442763.203661667, 2437000, 5468000
1503442763.479459521, 2437000, 5468000
1503442763.757173522, 2437000, 5468000
1503442764.034734140, 2437000, 5468000
1503442764.310363172, 2437000, 6406000
1503442764.585350495, 2437000, 6406000
1503442764.862513928, 2437000, 6406000
1503442765.142393418, 2437000, 5468000
1503442765.414871826, 2437000, 5468000
1503442765.690655200, 2937000, 5468000
1503442765.972561178, 2937000, 5468000
1503442766.246761610, 2437000, 5468000
1503442766.518742112, 2437000, 5468000
1503442766.793553992, 2437000, 5468000
1503442767.070699825, 2437000, 5468000
1503442767.345065359, 2437000, 5468000
1503442767.628171594, 2437000, 5468000
1503442767.909278021, 2437000, 5468000
1503442768.194180560, 2437000, 5468000
1503442768.467955927, 2437000, 5468000
1503442768.746326796, 2437000, 5468000
1503442769.022115210, 2437000, 5468000
1503442769.295182147, 2437000, 5468000
1503442769.574265426, 2437000, 5468000
1503442769.849911918, 2437000, 5468000
1503442770.127537197, 2437000, 5468000
1503442770.408675485, 2437000, 5468000
1503442770.681860903, 2437000, 5468000
1503442770.962954530, 2437000, 5468000
1503442771.247535685, 2437000, 5468000
1503442771.531246808, 2437000, 5468000
1503442771.811200279, 2437000, 5468000
1503442772.084871984, 2437000, 5468000
1503442772.358639990, 2437000, 5468000
1503442772.633825756, 2437000, 5218000
1503442772.907681543, 2437000, 5218000
1503442773.184850576, 2437000, 5468000
1503442773.458985907, 2437000, 5468000
1503442773.737958805, 2437000, 5468000
1503442774.017206027, 2437000, 5468000
1503442774.292457553, 2437000, 5468000
1503442774.565536050, 2437000, 5468000
1503442774.842022934, 2437000, 5468000
1503442775.116426968, 2437000, 5218000
1503442775.390848384, 2437000, 5218000
1503442775.664254545, 2437000, 5468000
1503442775.938681720, 2437000, 5468000
1503442776.213824385, 2437000, 5218000
1503442776.491604547, 2437000, 5218000
1503442776.766214404, 2437000, 5218000
1503442777.044035246, 2437000, 5218000
1503442777.319878101, 2437000, 5218000
1503442777.598965121, 2437000, 5468000
1503442777.876753082, 2437000, 5468000
1503442778.153162405, 2437000, 5468000
1503442778.428034106, 2437000, 5468000
1503442778.702473422, 1937000, 5218000
1503442778.975634819, 1937000, 5218000
1503442779.248184429, 2437000, 5468000
1503442779.522172318, 2437000, 5468000
1503442779.800286044, 2437000, 5468000
1503442780.083291677, 2437000, 5468000
1503442780.360299888, 2437000, 5468000
1503442780.634043854, 2437000, 5468000
1503442780.909794128, 2437000, 5468000
1503442781.184828571, 2437000, 5468000
1503442781.459702193, 2437000, 5468000
1503442781.733650041, 2437000, 5468000
1503442782.008778386, 2437000, 5468000
1503442782.283950832, 2437000, 5468000
1503442782.558639591, 2437000, 5468000
1503442782.831882030, 1937000, 5468000
1503442783.109847954, 1937000, 5468000
1503442783.397839536, 1937000, 5468000
1503442783.677650425, 2437000, 5468000
1503442783.954973500, 2437000, 5468000
1503442784.226422815, 2437000, 5468000
1503442784.505038508, 2437000, 5468000
1503442784.780316035, 2437000, 5468000
